DATE,RU3000TR
2016-09-12,6425.08
2016-09-13,6327.83
2016-09-14,6324.37
2016-09-15,6390.16
2016-09-16,6367.45
2016-09-19,6373.66
2016-09-20,6371.75
2016-09-21,6443.12
2016-09-22,6491.82
2016-09-23,6454.43
2016-09-26,6400.78
2016-09-27,6437.94
2016-09-28,6476.31
2016-09-29,6413.13
2016-09-30,6465.12
2016-10-03,6443.95
2016-10-04,6412.48
2016-10-05,6443.42
2016-10-06,6442.75
2016-10-07,6418.61
2016-10-10,6452.41
2016-10-11,6368.36
2016-10-12,6375.26
2016-10-13,6352.91
2016-10-14,6351.39
2016-10-17,6333.72
2016-10-18,6372.84
2016-10-19,6390.02
2016-10-20,6379.85
2016-10-21,6378.70
2016-10-24,6409.91
2016-10-25,6380.56
2016-10-26,6364.17
2016-10-27,6338.03
2016-10-28,6321.33
2016-10-31,6325.24
2016-11-01,6279.44
2016-11-02,6233.16
2016-11-03,6208.05
2016-11-04,6203.77
2016-11-07,6341.36
2016-11-08,6366.98
2016-11-09,6449.84
2016-11-10,6468.08
2016-11-11,6475.99
2016-11-14,6490.71
2016-11-15,6537.58
2016-11-16,6530.23
2016-11-17,6563.26
2016-11-18,6553.00
2016-11-21,6600.57
2016-11-22,6620.13
2016-11-23,6630.53
2016-11-24,.
2016-11-25,6656.49
2016-11-28,6615.72
2016-11-29,6624.45
2016-11-30,6608.31
2016-12-01,6582.22
2016-12-02,6584.84
2016-12-05,6632.79
2016-12-06,6663.35
2016-12-07,6747.82
2016-12-08,6773.84
2016-12-09,6806.62
2016-12-12,6789.95
2016-12-13,6829.41
2016-12-14,6770.11
2016-12-15,6797.99
2016-12-16,6787.57
2016-12-19,6803.87
2016-12-20,6833.18
2016-12-21,6813.88
2016-12-22,6795.14
2016-12-23,6808.41
2016-12-26,.
2016-12-27,6825.38
2016-12-28,6766.88
2016-12-29,6767.18
2016-12-30,6737.26
2017-01-02,.
2017-01-03,6792.93
2017-01-04,6846.30
2017-01-05,6832.87
2017-01-06,6853.59
2017-01-09,6826.77
2017-01-10,6835.34
2017-01-11,6854.22
2017-01-12,6835.47
2017-01-13,6853.68
2017-01-16,.
2017-01-17,6824.41
2017-01-18,6840.86
2017-01-19,6812.64
2017-01-20,6835.70
2017-01-23,6818.10
2017-01-24,6871.47
2017-01-25,6926.48
2017-01-26,6918.40
2017-01-27,6909.31
2017-01-30,6862.65
2017-01-31,6864.07
2017-02-01,6865.66
2017-02-02,6869.35
2017-02-03,6926.16
2017-02-06,6908.27
2017-02-07,6906.32
2017-02-08,6912.36
2017-02-09,6959.77
2017-02-10,6987.19
2017-02-13,7022.67
2017-02-14,7051.54
2017-02-15,7086.97
2017-02-16,7079.29
2017-02-17,7090.86
2017-02-20,.
2017-02-21,7135.24
2017-02-22,7124.52
2017-02-23,7120.77
2017-02-24,7132.19
2017-02-27,7148.28
2017-02-28,7119.35
2017-03-01,7219.50
2017-03-02,7171.47
2017-03-03,7175.66
2017-03-06,7148.39
2017-03-07,7124.07
2017-03-08,7106.14
2017-03-09,7106.42
2017-03-10,7130.33
2017-03-13,7138.09
2017-03-14,7112.76
2017-03-15,7178.41
2017-03-16,7170.65
2017-03-17,7165.67
2017-03-20,7147.79
2017-03-21,7047.13
2017-03-22,7059.09
2017-03-23,7057.17
2017-03-24,7052.91
2017-03-27,7048.00
2017-03-28,7099.71
2017-03-29,7111.63
2017-03-30,7135.55
2017-03-31,7124.20
2017-04-03,7104.99
2017-04-04,7108.84
2017-04-05,7080.21
2017-04-06,7103.32
2017-04-07,7098.12
2017-04-10,7105.66
2017-04-11,7103.85
2017-04-12,7069.31
2017-04-13,7018.88
2017-04-14,.
2017-04-17,7081.95
2017-04-18,7064.96
2017-04-19,7058.93
2017-04-20,7115.23
2017-04-21,7093.97
2017-04-24,7171.30
2017-04-25,7216.77
2017-04-26,7218.39
2017-04-27,7222.64
2017-04-28,7199.71
2017-05-01,7215.33
2017-05-02,7218.47
2017-05-03,7204.38
2017-05-04,7204.92
2017-05-05,7239.35
2017-05-08,7235.14
2017-05-09,7229.42
2017-05-10,7243.68
2017-05-11,7225.58
2017-05-12,7211.81
2017-05-15,7250.15
2017-05-16,7246.48
2017-05-17,7111.43
2017-05-18,7137.38
2017-05-19,7186.31
2017-05-22,7225.38
2017-05-23,7238.40
2017-05-24,7256.61
2017-05-25,7285.91
2017-05-26,7287.98
2017-05-29,.
2017-05-30,7274.48
2017-05-31,7273.39
2017-06-01,7340.25
2017-06-02,7368.32
2017-06-05,7354.56
2017-06-06,7334.47
2017-06-07,7345.98
2017-06-08,7357.18
2017-06-09,7353.66
2017-06-12,7347.61
2017-06-13,7385.36
2017-06-14,7374.43
2017-06-15,7356.21
2017-06-16,7355.81
2017-06-19,7416.99
2017-06-20,7363.60
2017-06-21,7357.31
2017-06-22,7357.90
2017-06-23,7375.60
2017-06-26,7380.64
2017-06-27,7319.02
2017-06-28,7390.16
2017-06-29,7328.14
2017-06-30,7339.03
2017-07-03,7361.01
2017-07-04,.
2017-07-05,7366.30
2017-07-06,7293.78
2017-07-07,7344.74
2017-07-10,7346.36
2017-07-11,7345.50
2017-07-12,7400.09
2017-07-13,7413.35
2017-07-14,7446.02
2017-07-17,7447.47
2017-07-18,7448.98
2017-07-19,7494.45
2017-07-20,7493.72
2017-07-21,7488.16
2017-07-24,7484.71
2017-07-25,7511.42
2017-07-26,7508.11
2017-07-27,7495.19
2017-07-28,7484.09
2017-07-31,7477.41
2017-08-01,7495.48
2017-08-02,7489.77
2017-08-03,7473.61
2017-08-04,7491.03
2017-08-07,7502.52
2017-08-08,7484.42
2017-08-09,7474.34
2017-08-10,7365.68
2017-08-11,7377.36
2017-08-14,7454.57
2017-08-15,7446.36
