DATE,BAMLC0A0CM
2017-10-31,1.01
2017-11-01,1.01
2017-11-02,1.02
2017-11-03,1.02
2017-11-06,1.03
2017-11-07,1.04
2017-11-08,1.04
2017-11-09,1.05
2017-11-10,1.06
2017-11-13,1.05
2017-11-14,1.06
2017-11-15,1.08
2017-11-16,1.07
2017-11-17,1.06
2017-11-20,1.06
2017-11-21,1.05
2017-11-22,1.05
2017-11-23,1.05
2017-11-24,1.04
2017-11-27,1.04
2017-11-28,1.04
2017-11-29,1.03
2017-11-30,1.03
2017-12-01,1.03
2017-12-04,1.02
2017-12-05,1.02
2017-12-06,1.02
2017-12-07,1.02
2017-12-08,1.02
2017-12-11,1.02
2017-12-12,1.01
2017-12-13,1.01
2017-12-14,1.01
2017-12-15,1.00
2017-12-18,1.00
2017-12-19,0.99
2017-12-20,0.99
2017-12-21,0.99
2017-12-22,0.99
2017-12-25,.
2017-12-26,0.99
2017-12-27,0.99
2017-12-28,0.98
2017-12-29,0.98
2017-12-31,0.99
2018-01-01,.
2018-01-02,0.98
2018-01-03,0.99
2018-01-04,0.98
2018-01-05,0.98
2018-01-08,0.97
2018-01-09,0.96
2018-01-10,0.95
2018-01-11,0.95
2018-01-12,0.95
2018-01-15,0.94
2018-01-16,0.94
2018-01-17,0.94
2018-01-18,0.94
2018-01-19,0.95
2018-01-22,0.94
2018-01-23,0.94
2018-01-24,0.94
2018-01-25,0.93
2018-01-26,0.92
2018-01-29,0.92
2018-01-30,0.91
2018-01-31,0.91
2018-02-01,0.90
2018-02-02,0.90
2018-02-05,0.91
2018-02-06,0.93
2018-02-07,0.92
2018-02-08,0.93
2018-02-09,0.97
2018-02-12,0.97
2018-02-13,1.00
2018-02-14,0.99
2018-02-15,0.98
2018-02-16,0.98
2018-02-19,0.98
2018-02-20,0.98
2018-02-21,0.98
2018-02-22,0.99
2018-02-23,1.00
2018-02-26,1.00
2018-02-27,1.00
2018-02-28,1.01
2018-03-01,1.04
2018-03-02,1.05
2018-03-05,1.05
2018-03-06,1.04
2018-03-07,1.05
2018-03-08,1.05
2018-03-09,1.06
2018-03-12,1.07
2018-03-13,1.08
2018-03-14,1.09
2018-03-15,1.10
2018-03-16,1.10
2018-03-19,1.10
2018-03-20,1.11
2018-03-21,1.11
2018-03-22,1.14
2018-03-23,1.15
2018-03-26,1.16
2018-03-27,1.16
2018-03-28,1.16
2018-03-29,1.16
2018-03-30,.
2018-03-31,1.17
2018-04-02,1.17
2018-04-03,1.16
2018-04-04,1.16
2018-04-05,1.14
2018-04-06,1.14
2018-04-09,1.14
2018-04-10,1.13
2018-04-11,1.13
2018-04-12,1.12
2018-04-13,1.11
2018-04-16,1.11
2018-04-17,1.10
2018-04-18,1.10
2018-04-19,1.10
2018-04-20,1.10
2018-04-23,1.11
2018-04-24,1.11
2018-04-25,1.11
2018-04-26,1.12
2018-04-27,1.12
2018-04-30,1.14
2018-05-01,1.15
2018-05-02,1.15
2018-05-03,1.16
2018-05-04,1.17
2018-05-07,1.17
2018-05-08,1.17
2018-05-09,1.17
2018-05-10,1.16
2018-05-11,1.15
2018-05-14,1.14
2018-05-15,1.14
2018-05-16,1.14
2018-05-17,1.14
2018-05-18,1.14
2018-05-21,1.14
2018-05-22,1.14
2018-05-23,1.15
2018-05-24,1.15
2018-05-25,1.16
2018-05-28,1.16
2018-05-29,1.20
2018-05-30,1.20
2018-05-31,1.22
2018-06-01,1.21
2018-06-04,1.20
2018-06-05,1.21
2018-06-06,1.21
2018-06-07,1.21
2018-06-08,1.22
2018-06-11,1.22
2018-06-12,1.22
2018-06-13,1.21
2018-06-14,1.21
2018-06-15,1.21
2018-06-18,1.22
2018-06-19,1.24
2018-06-20,1.24
2018-06-21,1.27
2018-06-22,1.27
2018-06-25,1.29
2018-06-26,1.29
2018-06-27,1.29
2018-06-28,1.30
2018-06-29,1.29
2018-06-30,1.30
2018-07-02,1.30
2018-07-03,1.30
2018-07-04,1.30
2018-07-05,1.29
2018-07-06,1.28
2018-07-09,1.27
2018-07-10,1.25
2018-07-11,1.25
2018-07-12,1.25
2018-07-13,1.24
2018-07-16,1.23
2018-07-17,1.23
2018-07-18,1.23
2018-07-19,1.23
2018-07-20,1.22
2018-07-23,1.21
2018-07-24,1.20
2018-07-25,1.19
2018-07-26,1.17
2018-07-27,1.16
2018-07-30,1.16
2018-07-31,1.16
2018-08-01,1.16
2018-08-02,1.16
2018-08-03,1.15
2018-08-06,1.15
2018-08-07,1.14
2018-08-08,1.15
2018-08-09,1.16
2018-08-10,1.18
2018-08-13,1.19
2018-08-14,1.19
2018-08-15,1.20
2018-08-16,1.19
2018-08-17,1.18
2018-08-20,1.19
2018-08-21,1.18
2018-08-22,1.19
2018-08-23,1.19
2018-08-24,1.19
2018-08-27,1.19
2018-08-28,1.18
2018-08-29,1.18
2018-08-30,1.19
2018-08-31,1.21
2018-09-03,1.21
2018-09-04,1.21
2018-09-05,1.21
2018-09-06,1.21
2018-09-07,1.20
2018-09-10,1.20
2018-09-11,1.19
2018-09-12,1.18
2018-09-13,1.17
2018-09-14,1.16
2018-09-17,1.15
2018-09-18,1.15
2018-09-19,1.14
2018-09-20,1.13
2018-09-21,1.13
2018-09-24,1.13
2018-09-25,1.12
2018-09-26,1.12
2018-09-27,1.12
2018-09-28,1.11
2018-09-30,1.13
2018-10-01,1.13
2018-10-02,1.13
2018-10-03,1.11
2018-10-04,1.12
2018-10-05,1.13
2018-10-08,1.13
2018-10-09,1.13
2018-10-10,1.13
2018-10-11,1.16
2018-10-12,1.16
2018-10-15,1.15
2018-10-16,1.16
2018-10-17,1.16
2018-10-18,1.17
2018-10-19,1.17
2018-10-22,1.18
2018-10-23,1.20
2018-10-24,1.19
2018-10-25,1.22
2018-10-26,1.23
2018-10-29,1.23
2018-10-30,1.25
2018-10-31,1.25
2018-11-01,1.26
2018-11-02,1.24
2018-11-05,1.25
2018-11-06,1.23
2018-11-07,1.22
2018-11-08,1.22
2018-11-09,1.23
2018-11-12,1.23
2018-11-13,1.26
2018-11-14,1.29
2018-11-15,1.33
2018-11-16,1.34
2018-11-19,1.36
2018-11-20,1.39
2018-11-21,1.38
2018-11-22,1.38
2018-11-23,1.38
2018-11-26,1.38
2018-11-27,1.40
2018-11-28,1.41
2018-11-29,1.42
