DATE,RU3000TR
20101018,3132.5
20101019,3080.48
20101020,3114.51
20101021,3117.63
20101022,3127.6
20101025,3136.48
20101026,3136.45
20101027,3129.27
20101028,3131.04
20101029,3132.55
20101101,3133.71
20101102,3161.81
20101103,3173.13
20101104,3235.83
20101105,3248.97
20101108,3243.95
20101109,3216.89
20101110,3234.89
20101111,3222.68
20101112,3182.05
20101115,3179.7
20101116,3127.53
20101117,3131.24
20101118,3179.8
20101119,3189.84
20101122,3188.87
20101123,3145.14
20101124,3196.03
20101125,.
20101126,3174.15
20101129,3170.28
20101130,3150.64
20101201,3218.71
20101202,3259.07
20101203,3270.62
20101206,3269.14
20101207,3271.22
20101208,3280.56
20101209,3293.01
20101210,3314.95
20101213,3313.03
20101214,3315.59
20101215,3298.66
20101216,3321.68
20101217,3326.7
20101220,3335.3
20101221,3357.8
20101222,3368.49
20101223,3362.97
20101224,.
20101227,3365.67
20101228,3366.11
20101229,3371.81
20101230,3367.89
20101231,3364.22
20110103,3404.4
20110104,3393.6
20110105,3413
20110106,3406.59
20110107,3400.18
20110110,3399.06
20110111,3412.42
20110112,3442.44
20110113,3437.32
20110114,3462.56
20110117,.
20110118,3469.5
20110119,3427.86
20110120,3418.18
20110121,3422.19
20110124,3444.16
20110125,3445.39
20110126,3466.4
20110127,3475.23
20110128,3411.55
20110131,3437.7
20110201,3496.36
20110202,3487.59
20110203,3496.8
20110204,3506.62
20110207,3530.22
20110208,3546.61
20110209,3536.19
20110210,3541.58
20110211,3564.44
20110214,3575.7
20110215,3562.28
20110216,3587.12
20110217,3599.98
20110218,3605.24
20110221,.
20110222,3527.76
20110223,3500.67
20110224,3500.56
20110225,3545.31
20110228,3562.86
20110301,3505.09
20110302,3513.08
20110303,3575.89
20110304,3550.87
20110307,3517.89
20110308,3551.27
20110309,3545.35
20110310,3476.41
20110311,3500.91
20110314,3480.39
20110315,3443.47
20110316,3381.7
20110317,3422.11
20110318,3439.1
20110321,3494.24
20110322,3480.99
20110323,3490.57
20110324,3523.18
20110325,3537.39
20110328,3526.95
20110329,3553.97
20110330,3581.83
20110331,3578.93
20110401,3597.3
20110404,3599.96
20110405,3602.05
20110406,3609.19
20110407,3601.4
20110408,3584.7
20110411,3571.78
20110412,3541.38
20110413,3544.76
20110414,3546.37
20110415,3563.53
20110418,3521.58
20110419,3540.77
20110420,3591.99
20110421,3612.65
20110422,.
20110425,3607.37
20110426,3640.28
20110427,3663.5
20110428,3675.79
20110429,3685.45
20110502,3675.18
20110503,3656.5
20110504,3629.68
20110505,3600.82
20110506,3615.52
20110509,3635.98
20110510,3668.53
20110511,3627.48
20110512,3646.13
20110513,3614.5
20110516,3588.54
20110517,3585.06
20110518,3621.72
20110519,3629.48
20110520,3602.99
20110523,3556.86
20110524,3552.52
20110525,3568.66
20110526,3587.75
20110527,3604.74
20110530,.
20110531,3643.4
20110601,3558.29
20110602,3554.77
20110603,3517.76
20110606,3476.97
20110607,3476.41
20110608,3458.46
20110609,3482.52
20110610,3432.29
20110613,3432.52
20110614,3480.05
20110615,3420.11
20110616,3424.86
20110617,3433.61
20110620,3453.53
20110621,3504.96
20110622,3482.96
20110623,3476.23
20110624,3437.64
20110627,3467.62
20110628,3515.01
20110629,3543.41
20110630,3577.97
20110701,3630.83
20110704,.
20110705,3628.59
20110706,3635.44
20110707,3674.99
20110708,3650.16
20110711,3580.2
20110712,3564.26
20110713,3577.97
20110714,3549.09
20110715,3570.47
20110718,3536.92
20110719,3597.52
20110720,3594.78
20110721,3641.2
20110722,3646.02
20110725,3621.97
20110726,3605.63
20110727,3527.03
20110728,3516.09
20110729,3496.04
20110801,3481.24
20110802,3387.83
20110803,3406.98
20110804,3234.41
20110805,3221.96
20110808,2995.68
20110809,3148.75
20110810,3013.64
20110811,3157.44
20110812,3173.79
20110815,3247.15
20110816,3211.66
20110817,3212.45
20110818,3061.66
20110819,3013.94
20110822,3013.94
20110823,3122.02
20110824,3163.69
20110825,3109.64
20110826,3163.6
20110829,3262
20110830,3272.04
20110831,3286.29
20110901,3242.74
20110902,3156.81
20110905,.
20110906,3134.73
20110907,3231.43
20110908,3194.01
20110909,3107.69
20110912,3129.01
20110913,3163.16
20110914,3208.25
20110915,3261.4
20110916,3276.9
20110919,3242.65
20110920,3229.51
20110921,3132.13
20110922,3029.55
20110923,3051.5
20110926,3120.03
20110927,3157.97
20110928,3084.87
20110929,3110.45
20110930,3031.29
20111003,2933.49
20111004,3012.74
20111005,3068.72
20111006,3129.38
20111007,3097.07
20111010,3205.44
20111011,3208.59
20111012,3243.07
20111013,3235.56
20111014,3292.8
20111017,3223.67
20111018,3292.8
20111019,3248.34
20111020,3262.45
20111021,3325.77
20111024,3379.35
20111025,3307.8
20111026,3345.46
20111027,3466.18
20111028,3465.74
20111031,3380.17
20111101,3282.43
20111102,3339.03
20111103,3405.11
20111104,3386.65
20111107,3403.32
20111108,3444.42
20111109,3313.85
20111110,3341.26
20111111,3408.79
20111114,3375.6
20111115,3395.57
20111116,3340.46
20111117,3284.13
20111118,3282.79
20111121,3221.5
20111122,3207.19
20111123,3133.08
20111124,.
20111125,3122.9
20111128,3220.08
20111129,3226.23
20111130,3371.03
20111201,3362.66
20111202,3364.43
20111205,3401.04
20111206,3402.63
20111207,3408.19
20111208,3331.72
20111209,3392.86
20111212,3341.46
20111213,3306.97
20111214,3267.41
20111215,3281.4
20111216,3296.02
20111219,3253.59
20111220,3355.04
20111221,3362.07
20111222,3391.19
20111223,3419.47
20111226,.
20111227,3421.56
20111228,3375.41
20111229,3412.88
20111230,3398.74
20120102,.
20120103,3449.92
20120104,3448.56
20120105,3461.77
20120106,3455.15
20120109,3464.75
20120110,3498.45
20120111,3502.39
20120112,3511.97
20120113,3493.24
20120116,.
20120117,3504.79
20120118,3547.64
20120119,3566.08
20120120,3568.3
20120123,3569.09
20120124,3569.62
20120125,3603.11
20120126,3583.35
20120127,3583.15
20120130,3571.83
20120131,3570.25
20120201,3609.38
20120202,3615.11
20120203,3671.58
20120206,3669.4
